"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Solution Clinica Integrada Odontologia","4.9","414","Rua Brigadeiro Henrique Fontenelle, 293","São Paulo","São Paulo","BR","http://www.clinicasolution.com.br/","+55 11 96444-9140","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Solution%20Clinica%20Integrada%20Odontologia&query_place_id=ChIJdQuUvi_5zpQRpHt1u033baw","Clínica odontológica"
"Casatrevo Odontologia","4.9","478","Av. Gen. Mac Arthur, 1206","São Paulo","São Paulo","BR","https://casatrevoodontologia.com.br/","+55 11 91189-9128","Clínica de implante dentário","Clínica odontológica","Dentista","Serviço dentário de emergência","Endodontista","Cirurgião dentista","Ortodontista","Odontopediatra","Periodontista","Serviço de clareamento dental","https://www.google.com/maps/search/?api=1&query=Casatrevo%20Odontologia&query_place_id=ChIJ3dKM1_5VzpQRMaEWGbRoBhU","Clínica de implante dentário"
"DCLIN Odontologia Moderna","5","140","Av. Queiroz Filho, 1560","São Paulo","São Paulo","BR","https://dclinodontologiamoderna.com.br/","+55 11 97450-3954","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DCLIN%20Odontologia%20Moderna&query_place_id=ChIJs8molaD4zpQRfDFPF5spaVA","Clínica odontológica"
"Dra Katia Albuquerque - Dentista","4.9","116","R. São João Clímaco, 536 - sala 1","São Paulo","São Paulo","BR","http://consultorioodontok.wix.com/odontok","+55 11 95919-1708","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra%20Katia%20Albuquerque%20-%20Dentista&query_place_id=ChIJYQ9tCJ5czpQRcM8rzNkCIs0","Dentista"
"Dra. Carmen Calixto Odontologia | Invisalign | Dentista na Mooca","4.9","141","R. Me. de Deus, 1603","São Paulo","São Paulo","BR","https://ortodentista.com/","+55 11 95060-8568","Dentista","Dentista cosmético","Clínica odontológica","Serviço dentário de emergência","Endodontista","Cirurgião dentista","Ortodontista","Odontopediatra",,,"https://www.google.com/maps/search/?api=1&query=Dra.%20Carmen%20Calixto%20Odontologia%20%7C%20Invisalign%20%7C%20Dentista%20na%20Mooca&query_place_id=ChIJVQkfo6VezpQRi3Xy0EeUe8g","Dentista"
"Consultório Dra. Larissa Daniel - Cirurgiã Dentista","5","97","Av. Maria Luiza Americano, 1306 - sala 11","São Paulo","São Paulo","BR","https://larissadanielodonto.com.br/","+55 11 2254-5056","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Consult%C3%B3rio%20Dra.%20Larissa%20Daniel%20-%20Cirurgi%C3%A3%20Dentista&query_place_id=ChIJFx-Z4_9mzpQRIhLunqWRmYw","Dentista"
"Odonto Jardim","4.7","75","R. José de Sá e Arruda, 53","São Paulo","São Paulo","BR","http://clinicaodontojardim.com.br/","+55 11 2753-0668","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odonto%20Jardim&query_place_id=ChIJt1uIFyppzpQRcnn7nCUnvSM","Clínica odontológica"
"AGN Odontologia | Implante Dentário | Aparelho Invisível | Parque da Mooca | São Paulo - SP","5","495","Av. Paes de Barros, 2384","São Paulo","São Paulo","BR","https://agnodontologia.com.br/","+55 11 94821-6750","Cirurgião dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AGN%20Odontologia%20%7C%20Implante%20Dent%C3%A1rio%20%7C%20Aparelho%20Invis%C3%ADvel%20%7C%20Parque%20da%20Mooca%20%7C%20S%C3%A3o%20Paulo%20-%20SP&query_place_id=ChIJfV6bK55ezpQRSmKK3_8aobc","Cirurgião dentista"
"Definitiva Odontologia","4.8","376","Av. Rio das Pedras, 172","São Paulo","São Paulo","BR","http://definitivaodontologia.com.br/","+55 11 95491-8448","Clínica odontológica","Periodontia e implantes dentários","Dentista","Endodontista","Cirurgião dentista","Ortodontista",,,,,"https://www.google.com/maps/search/?api=1&query=Definitiva%20Odontologia&query_place_id=ChIJL6qsyPZdzpQRHtfeiRXG2GM","Clínica odontológica"
"4+ Odontologia Integrada | Clínica Odontológica na Vila Prudente SP","4.9","118","Rua Orfanato, 760 - Sala 52","São Paulo","São Paulo","BR","http://www.quatromaisodonto.com.br/","+55 11 2649-9744","Dentista","Clínica odontológica","Cirurgião dentista","Ortodontista",,,,,,,"https://www.google.com/maps/search/?api=1&query=4%2B%20Odontologia%20Integrada%20%7C%20Cl%C3%ADnica%20Odontol%C3%B3gica%20na%20Vila%20Prudente%20SP&query_place_id=ChIJ97c4Eb9dzpQRxKjeXS_kjgY","Dentista"
