"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Clinica Anchieta Odontologia","5","243","Rua Dom Aloisio Lorscheider, 216","Campinas","São Paulo","BR","https://sites.google.com/view/anchietaodontologia","+55 19 2139-7952","Clínica odontológica","Dentista","Cirurgião dentista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Clinica%20Anchieta%20Odontologia&query_place_id=ChIJ5fvPTLy4yJQRWd3gktXACdI","Clínica odontológica"
"CliniOdonto Implantodontia e Odontologia Integrada","5","2","Rua Dom Aloisio Lorscheider, 256","Campinas","São Paulo","BR",,"+55 19 3397-0664","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CliniOdonto%20Implantodontia%20e%20Odontologia%20Integrada&query_place_id=ChIJueEYG--5yJQRVAPg8QVoZ6I","Dentista"
"M&M Odontologia","5","52","Supermercado Paguemenos - R. Achiles Bertoldi, 285 - Subsolo","Campinas","São Paulo","BR","http://linkfly.to/40819VQ5mh2","+55 19 99882-6497","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=M%26M%20Odontologia&query_place_id=ChIJ1aFoN_W3yJQRSOGCVLtaqu0","Dentista"
"Odontologia Ana Paula da La Corte","5","6","R. dos Jequitibás, 522","Campinas","São Paulo","BR",,"+55 19 3245-2524","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontologia%20Ana%20Paula%20da%20La%20Corte&query_place_id=ChIJ_4PvQpHHyJQRpIFWTteXQLk","Clínica odontológica"
"Instituto Campoy Cavasso - Odontologia","4.8","31","I - R. Dra. Líbia Hermisa Grandineti Tórtima, 322","Campinas","São Paulo","BR",,"+55 19 99959-2919","Cirurgião dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Instituto%20Campoy%20Cavasso%20-%20Odontologia&query_place_id=ChIJs4ujFAC3yJQRP-_3z5l3tPY","Cirurgião dentista"
"Dourado e Rosa Odontologia | Dentista em Campinas","5","44","R. Sebastião Pereira, 964","Campinas","São Paulo","BR","https://www.canva.com/design/DAGsiPSuEck/Tm9JqrO1qxybwpkqH4cx8g/view?utm_content=DAGsiPSuEck&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=ha6431d947d","+55 19 98111-7377","Dentista","Clínica odontológica","Clínica de implante dentário","Cirurgião dentista","Ortodontista","Serviço de clareamento dental",,,,,"https://www.google.com/maps/search/?api=1&query=Dourado%20e%20Rosa%20Odontologia%20%7C%20Dentista%20em%20Campinas&query_place_id=ChIJnSzURcm5yJQRc7XKQOsT0Ag","Dentista"
"GR ODONTO PRIME","5","21","R. Edson Luiz Rigonatto, 1022","Campinas","São Paulo","BR","https://www.grodontoprime.com/","+55 19 98356-5047","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GR%20ODONTO%20PRIME&query_place_id=ChIJEdvp4kO3yJQRuhX5lugNkI4","Clínica odontológica"
"kv Odontologia Especializada",,,"R. Rev. José Coelho Ferraz, 13B","Campinas","São Paulo","BR",,"",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=kv%20Odontologia%20Especializada&query_place_id=ChIJVdPrtybIyJQRlIUyM2ZtypE",
"DUE- Campo Grande Odontologia Dr Claudio Pina","4.1","33","Rua Dr - R. Edgar Pereira de Souza, 43","Campinas","São Paulo","BR",,"+55 19 99389-8986","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DUE-%20Campo%20Grande%20Odontologia%20Dr%20Claudio%20Pina&query_place_id=ChIJpb7dSW63yJQRL2HflZ3etK4","Dentista"
"Consultório Odontológico Dra.Karen Saad Florenzano","4.1","9","Av. Papa João Paulo II, 639","Campinas","São Paulo","BR",,"+55 19 3282-4344","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Consult%C3%B3rio%20Odontol%C3%B3gico%20Dra.Karen%20Saad%20Florenzano&query_place_id=ChIJkWuTz7-4yJQRlvyFehFslMA","Dentista"
"Odontoclinic - Campinas Campo Grande","4.2","151","R. Edson Luiz Rigonatto, 1401","Campinas","São Paulo","BR","https://odontoclinic.com.br/unidade/campinas-campo-grande","+55 19 99152-4046","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontoclinic%20-%20Campinas%20Campo%20Grande&query_place_id=ChIJCw-_NxO3yJQRNrzMJDVT2Rk","Dentista"
"Dentista Dra.Carol Campo Grande | PLANTÃO 24 HORAS HORÁRIO MARCADO.","5","82","Av. Armando Mario Tozi, 81","Campinas","São Paulo","BR",,"","Clínica odontológica","Periodontia e implantes dentários","Clínica de implante dentário","Cirurgião dentista","Ortodontista","Clínica de odontopediatria",,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20Dra.Carol%20Campo%20Grande%20%7C%20PLANT%C3%83O%2024%20HORAS%20HOR%C3%81RIO%20MARCADO.&query_place_id=ChIJefMY-s63yJQRYWsWRJtEF3w","Clínica odontológica"
